고정순서,예약률,노출,숙소ID,배지,숙소명(KO),Property (EN),名稱 (繁體),Region (EN),地區 (繁體),Intro (EN),簡介 (繁體),태그,객실명 (EN),客房 (繁體),최대인원,전체대관,사진 URL,에어비앤비 링크,사진위치,소개(KO),평점,후기수
,0,,_hero,,(상단 영역 설정),Not every stay on Jeju. Just the ones we'd send *a friend* to.,不是濟州所有的住宿。 只有我們願意*推薦給朋友*的那幾間。,,,"Fifteen independent stays, each one visited and looked after by a team that lives here.",十五間獨立住宿，每一間都由住在這裡的團隊親自走訪與照料。,,,,,,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1800/andostay.jpg",,top,,,
,30,Y,casadia,FEATURED,까사디아,Casa Dia,Casa Dia 卡薩迪亞,"Andeok-myeon, Seogwipo",西歸浦 安德面,"Seven Mediterranean-coloured private houses, newly opened beneath Sanbangsan Mountain.",山房山下新開幕，七棟地中海色彩的獨棟房舍。,"POOL,JACUZZI,GROUP,MOUNTAIN",Ruby Penthouse,紅寶石棟 頂樓,10,,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/casadia.jpg",https://www.airbnb.co.kr/h/casa-dia-penthouse,,"제주 산방산 아래, 지중해를 담은 컬러 독채 빌리지",4.67,3
,,Y,casadia,,,,,,,,,,Gold House · Family,金棟 家庭房,6,,,https://www.airbnb.co.kr/h/casa-dia-sapphire-family,,,,
,,Y,casadia,,,,,,,,,,Sapphire House · Family,藍寶石棟 家庭房,6,,,https://www.airbnb.co.kr/h/casa-dia-gold-family,,,,
,,Y,casadia,,,,,,,,,,Gold House · Couple,金棟 雙人房,2,,,https://www.airbnb.co.kr/h/casa-dia-gold-couple,,,,
,,Y,casadia,,,,,,,,,,Sapphire House · Couple,藍寶石棟 雙人房,2,,,https://www.airbnb.co.kr/h/casa-dia-sapphire-couple,,,,
,,Y,casadia,,,,,,,,,,Ruby House · 2F,紅寶石棟 2樓,5,,,https://www.airbnb.co.kr/h/casa-dia-ruby-2f,,,,
,,Y,casadia,,,,,,,,,,Ruby House · 1F,紅寶石棟 1樓,5,,,https://www.airbnb.co.kr/h/casa-dia-ruby-1f,,,,
,70,Y,staylagrange,FEATURED,라그랑주애월풀빌라,Stay La Grange,Stay La Grange 拉格朗日,"Aewol-eup, Jeju",濟州 涯月邑,"Two pools — one indoor, one outdoor, both heated all year — and the whole house to yourselves.",室內外兩座泳池，全年溫水，整棟只屬於你們。,"POOL,HEATED,INDOOR,PRIVATE",Whole house,整棟包棟,6,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/staylagrange.jpg",https://www.airbnb.co.kr/h/staylagrange,,"실내외 수영장 2개, 사계절 온수풀, 프라이빗 독채",5,2
,75,Y,1713injeju,DEAL:10,1713인제주,1713 in Jeju,1713 濟州,"Gujwa-eup, Jeju",濟州 舊左邑,"A gallery by day, a lounge by night — with an open-air jacuzzi under the sky.",白天是美術館，夜晚是酒廊 —— 還有一座露天按摩浴池，仰望星空。,"DESIGN,JACUZZI,GARDEN,COUPLE",Lounge Suite B,酒廊套房 B,4,,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/1713injeju.jpg",https://www.airbnb.co.kr/h/b1713injeju,,"낮에는 미술관, 밤에는 라운지. 하늘이 보이는 노천 자쿠지",4.96,53
,,Y,1713injeju,,,,,,,,,,Gallery Suite A,藝廊套房 A,3,,,https://www.airbnb.co.kr/h/a1713injeju,,,,
,77,Y,youhwadang,Free BBQ|免費烤肉,유화당,Youhwadang,有花堂 Youhwadang,"Aewol-eup, Jeju",濟州 涯月邑,"Up to 12 people, one group at a time — with a karaoke room, a cypress sauna and a fire pit under the Jeju night.",最多12人，一天只接待一組 —— 卡拉OK、檜木汗蒸幕，與濟州夜空下的營火。,"GROUP,KARAOKE,POOL,PRIVATE",Whole house,整棟包棟,12,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/youhwadang.jpg",https://www.airbnb.co.kr/h/youhwadang,,"최대 12인 대가족 독채. 노래방, 편백 찜질방, 불멍, 야외 수영장",4.91,11
,81,Y,sumdol,Free firepit|免費營火,제주섬돌편백가족펜션,Sumdol Jeju,Sumdol 濟州石屋,"Aewol-eup, Jeju",濟州 涯月邑,"A traditional Jeju stone house with 500 sqm of lawn — all of it yours, scented with hinoki cypress.",傳統濟州石屋，附500平方公尺草坪庭園，滿室檜木清香，完全獨享。,"GARDEN,STONE,PRIVATE,FAMILY",Whole house,整棟包棟,5,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/sumdol.jpg",https://www.airbnb.co.kr/h/sumdol,bottom,150평 잔디 정원 속 전통 돌집 독채. 편백향 가득,4.98,54
,83,Y,andostay,,안도스테이 프라이빗 스파,Ando Stay Private Spa,安道 Stay 私人水療,"Hallim-eup, Jeju",濟州 翰林邑,"A Tadao Ando-inspired house deep in the forest, ten minutes from Hyeopjae Beach, with a private spa.",森林深處的安藤忠雄風格建築，距挾才海灘十分鐘，附私人水療。,"SPA,FOREST,BEACH,DESIGN",Whole house,整棟包棟,4,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/andostay.jpg",https://www.airbnb.co.kr/h/andostay,,"안도 타다오의 미학이 깃든 숲속 독채. 협재 바다 10분, 프라이빗 스파",5,82
,84,Y,yipeul,,이플제주 프라이빗 풀빌라,Yipeul Jeju,Yipeul 濟州泳池別墅,"Namwon-eup, Seogwipo",西歸浦 南元邑,"One group a day in quiet Wimi — a heated pool, a green garden, and a Dyson Airwrap waiting in the bathroom.",位於寧靜的為美里，一天只接待一組 —— 溫水泳池、綠意庭園，浴室裡還備有 Dyson Airwrap。,"POOL,HEATED,PHOTO,PRIVATE",Whole house,整棟包棟,7,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/yipeul.jpg",https://www.airbnb.co.kr/h/yipeul-jeju,,"남원 위미의 하루 한 팀 독채 풀빌라. 온수풀, 정원, 고급 어메니티",4.94,32
,93,Y,gyuldamchae,NEW,귤담채,Gyuldamchae,Gyuldamchae 橘園別墅,"Hangyeong-myeon, Jeju",濟州 翰京面,"Three new houses among old stone walls, tangerine groves filling every window — for three, or for sixteen.",石牆村落中的三棟新屋，每扇窗都是橘園 —— 三人成行，十六人亦可。,"GROUP,ORCHARD,POOL,HEATED",Whole property · all three houses,三棟全包,16,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/gyuldamchae.jpg",https://www.airbnb.co.kr/h/gyuldamchae10,,"2인 커플부터 16인 대가족까지, 귤밭 뷰 온수 풀빌라 3개동",5,2
,,Y,gyuldamchae,,,,,,,,,,Flower House,花 Flower,7,,,https://www.airbnb.co.kr/h/gyuldamchae01,,,,
,,Y,gyuldamchae,,,,,,,,,,Scent House,香 Scent,6,,,https://www.airbnb.co.kr/h/gyuldamchae03,,,,
,,Y,gyuldamchae,,,,,,,,,,Tangerine House,橘 Tangerine,3,,,https://www.airbnb.co.kr/h/gyuldamchae02,,,,
-1,100,Y,dotlwat,,도틀왓제주 풀빌라,Dottlwat Jeju,Dottlwat 濟州泳池別墅,"Gujwa-eup, Jeju",濟州 舊左邑,"The sea at arm's length — a year-round heated pool, a 200-inch cinema and a Finnish sauna, built by its owner.",大海近在咫尺 —— 全年溫水泳池、200吋影院與芬蘭浴，屋主親手打造。,"OCEAN,POOL,HEATED,SAUNA",Whole house,整棟包棟,7,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/dotlwat.jpg",https://www.airbnb.co.kr/h/dotlwat,,제주 바다를 가장 가까이서 누리는 하이엔드 힐링 풀빌라,4.9,93
,100,Y,chungsoo,Free jacuzzi|免費按摩池,청수여관 제주백년돌집,Chungsoo Inn,青水旅館 濟州百年石屋,"Hangyeong-myeon, Jeju",濟州 翰京面,"A hundred-year-old stone house the host's grandmother once lived in — restored for one group a day, with a hot jacuzzi in the walled yard.",屋主奶奶曾住過的百年石屋，整修後一天只接待一組 —— 石牆庭院裡還有一座全年溫水按摩池。,"STONE,JACUZZI,PRIVATE,GARDEN",Whole house,整棟包棟,8,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/chungsoo.jpg",https://www.airbnb.co.kr/h/cheongsu,,호스트 할머니가 살던 백년 돌집을 리모델링한 하루 한 팀 독채. 야외 온수 자쿠지 무료,5,61
,91,Y,conanbeach,Free jacuzzi|免費按摩池,코난비치 월정리 자쿠지 오션스테이,Conan Beach Ocean Stay,Conan Beach 月汀里海景石屋,"Gujwa-eup, Jeju",濟州 舊左邑,A traditional stone house on the water between Conan Beach and Woljeongri — with a sea-view jacuzzi and snorkelling gear waiting at the door.,位於 Conan Beach 與月汀里之間的海邊傳統石屋 —— 面海按摩浴池，浮潛裝備免費借用。,"OCEAN,JACUZZI,BEACH,STONE",Whole property · all three houses,三棟全包,10,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/conanbeach.jpg",https://www.airbnb.co.kr/h/conan123,,"코난비치와 월정리 사이 바다 앞 전통 돌집 독채. 오션뷰 자쿠지 무료, 스노클링 장비 무료 대여",5,3
